id_consumo;id_insumo;id_maquina;cantidad;fecha
290;2103117;MA173;20;3/2/2021
291;2103133;VA136;20;3/2/2021
292;3003136;OR125;3;3/2/2021
293;1200808;MA079;2500;4/2/2021
294;1210832;MA153;24;4/2/2021
295;3001121;MA042;15;4/2/2021
296;3001431;OR076;3;4/2/2021
297;3002637;OR097;3;4/2/2021
298;3007780;VA162;2;4/2/2021
299;2006758;MA109;1;5/2/2021
300;1200666;OR148;750;6/2/2021
301;1201891;VA140;750;6/2/2021
302;1203010;MT117;750;6/2/2021
303;1203029;OR124;750;6/2/2021
304;1203371;MA155;1;6/2/2021
305;1204138;OR142;3000;6/2/2021
306;1204560;MA154;2500;6/2/2021
307;1204904;VA161;2750;6/2/2021
308;1207790;MA009;1;6/2/2021
309;1210836;OR149;1;6/2/2021
310;2128136;MT118;20;6/2/2021
311;2405862;MA147;1;6/2/2021
312;3300374;MA072;48;6/2/2021
313;1203304;MA120;3;8/2/2021
314;1903403;MA176;2;8/2/2021
315;2101025;MA147;10;8/2/2021
316;2111201;MT117;3;8/2/2021
317;1200062;MA153;750;9/2/2021
318;1200135;OR142;750;9/2/2021
319;1200348;VA161;750;9/2/2021
320;1200544;MA119;2500;9/2/2021
321;1200738;MA113;3;9/2/2021
322;1200743;MA078;2;9/2/2021
323;1200744;MA044;2;9/2/2021
324;1200745;VA161;1;9/2/2021
325;1203495;MA102;1000;9/2/2021
326;1203592;OR096;1000;9/2/2021
327;1206674;MA072;1800;9/2/2021
328;1207915;MA043;1000;9/2/2021
329;1209045;MA109;1000;9/2/2021
330;2006758;MA122;10;9/2/2021
331;2100991;MA154;100;9/2/2021
332;2101009;MA001;100;9/2/2021
333;2112639;MA102;2;9/2/2021
334;2124513;OR096;100;9/2/2021
335;2140359;MA029;2;9/2/2021
336;3003136;MA043;2;9/2/2021
337;2038638;MA009;1;10/2/2021
338;1200038;VA138;750;11/2/2021
339;1200046;MA080;750;11/2/2021
340;1200100;OR148;750;11/2/2021
341;1200194;MA170;750;11/2/2021
342;1202294;OR142;500;11/2/2021
343;1203592;VA140;500;11/2/2021
344;1204904;VA161;750;11/2/2021
345;1204912;MA015;250;11/2/2021
346;1206400;MA110;500;11/2/2021
347;1207130;MA094;250;11/2/2021
348;1207385;MA106;250;11/2/2021
349;1207393;MA129;500;11/2/2021
350;1207401;MA153;500;11/2/2021
351;2100029;MA150;10;11/2/2021
352;2201842;OR149;40;11/2/2021
353;1202286;MA092;500;12/2/2021
354;1204823;VA165;500;12/2/2021
355;1205137;MA126;500;12/2/2021
356;1205145;OR096;500;12/2/2021
357;1207990;VA156;2500;12/2/2021
358;1210836;MA116;1;12/2/2021
359;2001659;MA126;4;12/2/2021
360;2001900;MA103;4;12/2/2021
361;2006758;MA103;1;12/2/2021
362;2100266;MA169;12;12/2/2021
363;2110991;MA128;2;12/2/2021
364;2201046;MA127;2600;12/2/2021
365;2006758;MA465;1;13/2/2021
366;2006758;VA140;1;15/2/2021
367;1200430;MA169;750;16/2/2021
368;1200431;MA116;750;16/2/2021
369;1200432;OR148;750;16/2/2021
370;1200435;VA139;750;16/2/2021
371;1208487;VA167;2500;16/2/2021
372;2006758;MA114;30;16/2/2021
373;1200430;OR098;500;17/2/2021
374;1200431;VA132;500;17/2/2021
375;1200432;MA078;500;17/2/2021
376;1200435;MA121;500;17/2/2021
377;1207915;MA029;250;17/2/2021
378;2006758;OR142;4;17/2/2021
379;2100118;MA089;4;17/2/2021
380;3003136;VA165;2;17/2/2021
381;1200194;MA005;250;18/2/2021
382;1200430;MA116;500;18/2/2021
383;1200431;VA159;500;18/2/2021
384;1200432;OR145;500;18/2/2021
385;1200435;MA115;500;18/2/2021
386;1206400;OR076;1000;18/2/2021
387;1207393;MA059;1250;18/2/2021
388;1207401;MA150;1250;18/2/2021
389;2006758;VA159;1;18/2/2021
390;2104415;MA146;5;18/2/2021
391;2104568;MA128;500;18/2/2021
392;2104733;OR152;5;18/2/2021
393;2105275;MA119;20;18/2/2021
394;2181468;MA170;50;18/2/2021
395;3002637;VA157;3;18/2/2021
396;3007780;VA132;2;18/2/2021
397;1200430;VA160;1250;19/2/2021
398;1200431;OR097;1250;19/2/2021
399;1200432;OR124;1250;19/2/2021
400;1200435;MA068;1250;19/2/2021
401;2116405;MA113;2;19/2/2021
402;2128152;MA147;4;19/2/2021
403;1202294;VA139;500;22/2/2021
404;1207377;VA134;1250;22/2/2021
405;1207385;MA465;750;22/2/2021
406;2106817;MA150;1;22/2/2021
407;3001121;VA159;15;22/2/2021
408;1200062;VA162;500;23/2/2021
409;1200135;MA087;500;23/2/2021
410;1200356;OR125;750;23/2/2021
411;1203049;MA131;2000;23/2/2021
412;1203137;MA169;2000;23/2/2021
413;2100169;MT105;4;23/2/2021
414;2200025;MA127;400;23/2/2021
415;2201046;MA011;2400;23/2/2021
416;2406557;MA009;1;23/2/2021
417;1200038;MA091;750;24/2/2021
418;1200046;MA108;750;24/2/2021
419;1200100;VA163;750;24/2/2021
420;1200194;MA465;750;24/2/2021
421;1203290;MA177;2;24/2/2021
422;2006758;MA042;1;24/2/2021
423;2100029;MA176;2;24/2/2021
424;2152916;MA170;5;24/2/2021
425;2406557;VA167;1;24/2/2021
426;2406557;VA137;4;24/2/2021
427;1200055;MA107;500;25/2/2021
428;1207114;MA042;500;25/2/2021
429;1207130;VA138;500;25/2/2021
430;1207489;MA116;250;25/2/2021
431;1207915;MA068;500;25/2/2021
432;1209045;VA137;500;25/2/2021
433;2034643;MA115;4;25/2/2021
434;2100169;MA176;8;25/2/2021
435;2123363;MA087;4;25/2/2021
436;3000141;VA141;2;25/2/2021
437;3002637;OR096;5;25/2/2021
438;3003136;OR144;3;25/2/2021
439;1200011;MA087;1250;26/2/2021
440;1203012;MA150;2;26/2/2021
441;1203015;MA001;20;26/2/2021
442;1203584;VA135;1250;26/2/2021
443;3001121;MA150;15;26/2/2021
444;3007780;MA078;2;26/2/2021
445;1200038;OR097;250;27/2/2021
446;1200046;OR098;250;27/2/2021
447;1200194;OR151;250;27/2/2021
448;1200259;MA036;250;27/2/2021
449;1200348;VA161;250;27/2/2021
450;1201069;MA059;250;27/2/2021
451;1201840;VA166;750;27/2/2021
452;1203452;MA127;750;27/2/2021
453;1203495;MA095;500;27/2/2021
454;1204823;MA109;250;27/2/2021
455;1204912;OR143;250;27/2/2021
456;1205137;MA094;250;27/2/2021
457;1205145;MA043;250;27/2/2021
458;1207393;VA161;250;27/2/2021
459;1207401;OR152;500;27/2/2021
460;1207489;MA085;500;27/2/2021
461;1208479;MA127;500;27/2/2021
462;1213056;MA112;250;27/2/2021
463;1904319;MA011;3;27/2/2021
464;2104881;MA009;1;27/2/2021
465;1200062;MA111;750;1/3/2021
466;1200135;MA027;750;1/3/2021
467;1200178;MA110;750;1/3/2021
468;1200259;VA137;750;1/3/2021
469;1200348;MA087;750;1/3/2021
470;1200542;VA135;750;1/3/2021
471;1203038;MA005;2000;1/3/2021
472;1203137;OR144;2000;1/3/2021
473;1203525;OR098;750;1/3/2021
474;2000862;MT117;1;1/3/2021
475;2100118;MA100;1;1/3/2021
476;2101145;VA163;40;1/3/2021
477;2152916;OR123;1;1/3/2021
478;1203495;MA154;1000;2/3/2021
479;1203592;VA136;1000;2/3/2021
480;1207114;MA173;500;2/3/2021
481;1207130;OR096;500;2/3/2021
482;1207915;MA102;500;2/3/2021
483;1209045;VA134;500;2/3/2021
484;2006758;MA106;1;2/3/2021
485;1200747;OR144;16;3/3/2021
486;1200821;VA133;2000;3/3/2021
487;1201605;MA086;10;3/3/2021
488;1202286;MA122;750;3/3/2021
489;1204823;MA085;500;3/3/2021
490;1205137;MA072;750;3/3/2021
491;1205145;MA073;750;3/3/2021
492;1207130;MT117;250;3/3/2021
493;1900587;MA115;4;3/3/2021
494;2006758;MA122;1;3/3/2021
495;2006758;MA103;10;3/3/2021
496;2100029;OR099;10;3/3/2021
497;2200025;MA085;200;3/3/2021
498;3003136;MA011;5;3/3/2021
499;1200727;OR151;64;4/3/2021
500;1200728;MA114;160;4/3/2021
501;1200729;VA163;160;4/3/2021
502;1202294;OR125;250;4/3/2021
503;1203592;MA073;500;4/3/2021
504;1204137;MA001;2500;4/3/2021
505;1207130;MA177;500;4/3/2021
506;1207990;MA109;250;4/3/2021
507;2101033;MA059;100;4/3/2021
508;2102269;OR124;100;4/3/2021
509;2148444;MA072;100;4/3/2021
510;3000257;VA157;3;4/3/2021
511;1203137;MA081;2000;5/3/2021
512;1204300;MA015;2500;5/3/2021
513;2006758;VA138;1;5/3/2021
514;1203290;MA092;3;8/3/2021
515;1204138;MA101;6000;8/3/2021
516;1206494;MA090;8000;8/3/2021
517;2038638;MA079;1;8/3/2021
518;2100800;OR145;2;8/3/2021
519;2106825;MA106;2;8/3/2021
520;2110024;MA106;2;8/3/2021
521;2110059;MA090;2;8/3/2021
522;2110993;MA115;2;8/3/2021
523;2150120;MA091;2;8/3/2021
524;1201350;MA019;4;9/3/2021
525;2001021;OR143;20;9/3/2021
526;2006758;MA111;20;9/3/2021
527;1200038;VA165;250;10/3/2021
528;1200046;MA084;250;10/3/2021
529;1200100;MA128;250;10/3/2021
530;1200178;OR123;250;10/3/2021
531;1200194;MA103;250;10/3/2021
532;1200418;MA005;2500;10/3/2021
533;1200430;MA086;250;10/3/2021
534;1200431;MA001;250;10/3/2021
535;1200500;MA130;2500;10/3/2021
536;1200542;MA101;250;10/3/2021
537;1200821;MA110;100;10/3/2021
538;1200992;MA005;250;10/3/2021
539;1201123;MA106;250;10/3/2021
540;1203010;MA154;250;10/3/2021
541;1203495;MA073;500;10/3/2021
542;1203592;OR097;500;10/3/2021
543;1203606;MA090;500;10/3/2021
544;1204823;MA068;250;10/3/2021
545;1205145;OR096;250;10/3/2021
546;1206494;MA080;500;10/3/2021
547;1207377;MA050;500;10/3/2021
548;1207385;OR142;250;10/3/2021
549;1207393;MA122;500;10/3/2021
550;1207401;VA159;500;10/3/2021
551;1207990;MA078;500;10/3/2021
552;1209045;MA091;250;10/3/2021
553;1210249;VA166;250;10/3/2021
554;1213021;MA029;500;10/3/2021
555;1213048;MA005;500;10/3/2021
556;1213056;MA001;500;10/3/2021
557;3001121;MA465;15;10/3/2021
558;3007780;MA091;2;10/3/2021
559;1202286;OR149;500;11/3/2021
560;1204823;MA171;1000;11/3/2021
561;1205145;MA088;250;11/3/2021
562;1207497;MA116;2600;11/3/2021
563;1303312;MA172;2;11/3/2021
564;2100037;MA153;1;11/3/2021
565;2406565;MA094;1;11/3/2021
566;2406565;OR151;2;11/3/2021
567;1200821;MT118;900;12/3/2021
568;1200992;MA465;1500;12/3/2021
569;1201123;MA106;1500;12/3/2021
570;1203290;MT104;1;12/3/2021
571;2015346;VA160;1;12/3/2021
572;2104712;MA081;2;12/3/2021
573;1202294;MA078;500;13/3/2021
574;1206494;MA465;2750;13/3/2021
575;2400597;OR097;1;14/3/2021
576;1200038;MA126;750;15/3/2021
577;1200046;MA001;750;15/3/2021
578;1200100;MA150;750;15/3/2021
579;1200194;OR145;750;15/3/2021
580;1203012;MA045;2;15/3/2021
581;1204904;MA128;2750;15/3/2021
582;1206400;MA073;500;15/3/2021
583;1207497;MA027;1000;15/3/2021
584;1210836;VA156;1;15/3/2021
585;1906927;MA126;4;15/3/2021
586;2006758;MA107;1;15/3/2021
587;2124769;MA170;5;15/3/2021
588;2400597;MA155;3;15/3/2021
589;2402039;MA068;1;15/3/2021
590;2406557;VA156;1;15/3/2021
591;1203495;MA092;1000;16/3/2021
592;1203592;MA112;1000;16/3/2021
593;1207114;MA010;500;16/3/2021
594;1207130;MA081;500;16/3/2021
595;1207915;MA102;500;16/3/2021
596;1209045;MA009;500;16/3/2021
597;1900021;MA127;2;16/3/2021
598;1901925;VA138;2;16/3/2021
599;2001133;MA087;2;16/3/2021
600;2001349;MA010;4;16/3/2021
601;2001357;MA115;6;16/3/2021
602;2005176;VA134;1;16/3/2021
603;2005184;MA005;1;16/3/2021
604;2006758;VA133;1;16/3/2021
605;2400597;VA162;1;16/3/2021
606;2402039;MA095;1;16/3/2021
607;3001121;OR123;15;16/3/2021
608;3003136;MA155;3;16/3/2021
609;1200472;MA177;2;17/3/2021
